meter,post,treatment,reef,spat.source,home.away,position,date.checked,month.checked,number.shells,color,status,size,diff,notes
12,86,cage,butler,butler,home,1,8/17/19,initial,2,purple,1,8,0,
12,86,cage,butler,butler,home,1,8/17/19,initial,2,red,1,12,0,
8,88,control,butler,butler,home,1,8/17/19,initial,3,blue,1,9,0,
8,88,control,butler,butler,home,1,8/17/19,initial,3,purple,1,7,0,
8,88,control,butler,butler,home,1,8/17/19,initial,3,red,1,15,0,paint on shell
14,91,cage,pellicer,butler,away,1,8/17/19,initial,2,blue,1,15,0,
14,91,cage,pellicer,butler,away,1,8/17/19,initial,2,purple,1,8,0,
14,91,cage,pellicer,butler,away,1,8/17/19,initial,2,red,1,16,0,
13,93,cage,pellicer,butler,away,1,8/17/19,initial,1,blue,1,11,0,
13,93,cage,pellicer,butler,away,1,8/17/19,initial,1,purple,1,9,0,
13,93,cage,pellicer,butler,away,1,8/17/19,initial,1,red,1,8,0,
20,95,cage,pellicer,butler,away,1,8/17/19,initial,3,blue,1,6,0,
20,95,cage,pellicer,butler,away,1,8/17/19,initial,3,purple,1,15,0,
20,95,cage,pellicer,butler,away,1,8/17/19,initial,3,red,1,10,0,
18,101,cage,butler,butler,home,1,8/17/19,initial,2,blue,1,14,0,
18,101,cage,butler,butler,home,1,8/17/19,initial,2,purple,1,8,0,
18,101,cage,butler,butler,home,1,8/17/19,initial,2,red,1,10,0,
4,103,control,pellicer,butler,away,1,8/17/19,initial,3,blue,1,11,0,
4,103,control,pellicer,butler,away,1,8/17/19,initial,3,purple,1,7,0,
4,103,control,pellicer,butler,away,1,8/17/19,initial,3,red,1,12,0,
16,110,cage,butler,butler,home,1,8/17/19,initial,1,blue,1,9,0,
16,110,cage,butler,butler,home,1,8/17/19,initial,1,purple,1,4,0,
16,110,cage,butler,butler,home,1,8/17/19,initial,1,red,1,7,0,
1,112,control,pellicer,butler,away,1,8/17/19,initial,3,blue,1,7,0,
1,112,control,pellicer,butler,away,1,8/17/19,initial,3,purple,1,12,0,
1,112,control,pellicer,butler,away,1,8/17/19,initial,3,red,1,16,0,
15,113,control,butler,butler,home,1,8/17/19,initial,1,blue,1,13,0,
15,113,control,butler,butler,home,1,8/17/19,initial,1,purple,1,11,0,
15,113,control,butler,butler,home,1,8/17/19,initial,1,red,1,12,0,
17,115,control,butler,butler,home,1,8/17/19,initial,1,blue,1,2,0,
17,115,control,butler,butler,home,1,8/17/19,initial,1,purple,1,6,0,
17,115,control,butler,butler,home,1,8/17/19,initial,1,red,1,5,0,
10,116,control,butler,butler,home,1,8/17/19,initial,3,blue,1,6,0,
10,116,control,butler,butler,home,1,8/17/19,initial,3,purple,1,7,0,
10,116,control,butler,butler,home,1,8/17/19,initial,3,red,1,13,0,
14,118,cage,butler,butler,home,1,8/17/19,initial,3,blue,1,4,0,
14,118,cage,butler,butler,home,1,8/17/19,initial,3,purple,1,13,0,
14,118,cage,butler,butler,home,1,8/17/19,initial,3,red,1,7,0,
9,4,cage,butler,pellicer,away,2,8/17/19,initial,1,blue,1,7,0,
9,4,cage,butler,pellicer,away,2,8/17/19,initial,1,purple,1,11,0,
9,4,cage,butler,pellicer,away,2,8/17/19,initial,1,red,1,5,0,
7,5,cage,pellicer,pellicer,home,2,8/17/19,initial,2,blue,1,13,0,
7,5,cage,pellicer,pellicer,home,2,8/17/19,initial,2,purple,1,7,0,
7,5,cage,pellicer,pellicer,home,2,8/17/19,initial,2,red,1,12,0,
11,6,control,butler,pellicer,away,2,8/17/19,initial,2,blue,1,13,0,
11,6,control,butler,pellicer,away,2,8/17/19,initial,2,purple,1,7,0,
11,6,control,butler,pellicer,away,2,8/17/19,initial,2,red,1,8,0,
15,8,control,pellicer,pellicer,home,2,8/17/19,initial,2,blue,1,12,0,
15,8,control,pellicer,pellicer,home,2,8/17/19,initial,2,purple,1,12,0,
15,8,control,pellicer,pellicer,home,2,8/17/19,initial,2,red,1,10,0,
5,10,cage,pellicer,pellicer,home,2,8/17/19,initial,3,blue,1,15,0,
5,10,cage,pellicer,pellicer,home,2,8/17/19,initial,3,purple,1,12,0,
5,10,cage,pellicer,pellicer,home,2,8/17/19,initial,3,red,1,11,0,
1,20,control,butler,pellicer,away,2,8/17/19,initial,3,blue,1,5,0,
1,20,control,butler,pellicer,away,2,8/17/19,initial,3,purple,1,12,0,
1,20,control,butler,pellicer,away,2,8/17/19,initial,3,red,1,11,0,
6,21,cage,butler,pellicer,away,2,8/17/19,initial,1,blue,1,9,0,
6,21,cage,butler,pellicer,away,2,8/17/19,initial,1,purple,1,10,0,
6,21,cage,butler,pellicer,away,2,8/17/19,initial,1,red,1,14,0,
5,23,cage,butler,pellicer,away,2,8/17/19,initial,3,blue,1,11,0,
5,23,cage,butler,pellicer,away,2,8/17/19,initial,3,purple,1,12,0,
5,23,cage,butler,pellicer,away,2,8/17/19,initial,3,red,1,8,0,
8,27,control,pellicer,pellicer,home,2,8/17/19,initial,3,blue,1,16,0,
8,27,control,pellicer,pellicer,home,2,8/17/19,initial,3,purple,1,6,0,
8,27,control,pellicer,pellicer,home,2,8/17/19,initial,3,red,1,16,0,
6,29,control,pellicer,pellicer,home,2,8/17/19,initial,3,blue,1,8,0,
6,29,control,pellicer,pellicer,home,2,8/17/19,initial,3,purple,1,11,0,
6,29,control,pellicer,pellicer,home,2,8/17/19,initial,3,red,1,10,0,
10,31,control,pellicer,pellicer,home,2,8/17/19,initial,3,blue,1,20,0,
10,31,control,pellicer,pellicer,home,2,8/17/19,initial,3,purple,1,12,0,
10,31,control,pellicer,pellicer,home,2,8/17/19,initial,3,red,1,18,0,
2,32,control,butler,pellicer,away,2,8/17/19,initial,1,blue,1,11,0,
2,32,control,butler,pellicer,away,2,8/17/19,initial,1,purple,1,13,0,
2,32,control,butler,pellicer,away,2,8/17/19,initial,1,red,1,12,0,
17,34,cage,pellicer,pellicer,home,2,8/17/19,initial,3,blue,1,10,0,
17,34,cage,pellicer,pellicer,home,2,8/17/19,initial,3,purple,1,15,0,
17,34,cage,pellicer,pellicer,home,2,8/17/19,initial,3,red,1,9,0,
4,39,control,butler,pellicer,away,2,8/17/19,initial,1,blue,1,12,0,
4,39,control,butler,pellicer,away,2,8/17/19,initial,1,purple,1,14,0,
4,39,control,butler,pellicer,away,2,8/17/19,initial,1,red,1,9,0,
13,40,cage,butler,pellicer,away,2,8/17/19,initial,3,blue,1,12,0,
13,40,cage,butler,pellicer,away,2,8/17/19,initial,3,purple,1,9,0,
13,40,cage,butler,pellicer,away,2,8/17/19,initial,3,red,1,11,0,
12,42,cage,pellicer,pellicer,home,2,8/17/19,initial,2,blue,1,11,0,
12,42,cage,pellicer,pellicer,home,2,8/17/19,initial,2,purple,1,9,0,
12,42,cage,pellicer,pellicer,home,2,8/17/19,initial,2,red,1,7,0,
19,43,cage,butler,pellicer,away,2,8/17/19,initial,3,blue,1,17,0,
19,43,cage,butler,pellicer,away,2,8/17/19,initial,3,purple,1,13,0,
19,43,cage,butler,pellicer,away,2,8/17/19,initial,3,red,1,12,0,
3,44,cage,pellicer,pellicer,home,2,8/17/19,initial,2,blue,1,8,0,
3,44,cage,pellicer,pellicer,home,2,8/17/19,initial,2,purple,1,6,0,
3,44,cage,pellicer,pellicer,home,2,8/17/19,initial,2,red,1,10,0,
20,46,control,butler,pellicer,away,2,8/17/19,initial,1,blue,1,14,0,
20,46,control,butler,pellicer,away,2,8/17/19,initial,1,purple,1,15,0,
20,46,control,butler,pellicer,away,2,8/17/19,initial,1,red,1,5,0,
18,48,control,pellicer,pellicer,home,2,8/17/19,initial,3,blue,1,11,0,
18,48,control,pellicer,pellicer,home,2,8/17/19,initial,3,purple,1,12,0,
18,48,control,pellicer,pellicer,home,2,8/17/19,initial,3,red,1,6,0,
4,63,control,pellicer,butler,away,2,8/17/19,initial,2,blue,1,7,0,
4,63,control,pellicer,butler,away,2,8/17/19,initial,2,purple,1,8,0,
