DateTime,High Range,Temp,Specific Conductance,Salinity,Site
11/29/19,32296.3,20.2,52299.9,34.4331,butler
11/29/19,32233.7,20.15,52254,34.3992,butler
11/29/19,32268.9,20.14,52321.8,34.4493,butler
11/29/19,32241.5,20.17,52243.8,34.3916,butler
11/29/19,32194.7,20.2,52134.5,34.3108,butler
11/29/19,32159.7,20.21,52066.6,34.2605,butler
11/29/19,32101.6,20.18,52005.6,34.2154,butler
11/29/19,32120.9,20.2,52014.4,34.2219,butler
11/29/19,32132.6,20.21,52021.9,34.2275,butler
11/29/19,32113.2,20.24,51957.1,34.1796,butler
11/29/19,32086.1,20.27,51880,34.1225,butler
11/29/19,32086.1,20.28,51868.7,34.1142,butler
11/29/19,32066.8,20.36,51749.2,34.0259,butler
11/29/19,31982.1,20.39,51579.6,33.9007,butler
11/29/19,31966.8,20.41,51532.8,33.8661,butler
11/29/19,31894.1,20.41,51415.6,33.7796,butler
11/29/19,31875.1,20.46,51330.2,33.7166,butler
11/29/19,31940,20.52,51368.9,33.7451,butler
11/29/19,31955.3,20.6,51306.2,33.6988,butler
11/29/19,31982.1,20.66,51283.7,33.6823,butler
11/29/19,32036,20.75,51272.1,33.6737,butler
11/29/19,32101.6,20.84,51279.1,33.6789,butler
11/29/19,32128.7,20.86,51300.3,33.6946,butler
11/29/19,32194.7,20.92,51340.3,33.724,butler
11/29/19,32569.4,20.62,52258.8,34.4027,butler
11/29/19,32561.4,20.68,52179.5,34.344,butler
11/29/19,32561.4,20.65,52212.3,34.3683,butler
11/29/19,32581.4,20.66,52233,34.3836,butler
11/29/19,32493.7,20.53,52235.8,34.3857,butler
11/29/19,32268.9,20.33,52095.4,34.2818,butler
11/29/19,32288.5,20.33,52126.7,34.305,butler
11/30/19,32438.2,20.52,52157,34.3274,butler
11/30/19,32446.1,20.52,52169.4,34.3365,butler
11/30/19,32458,20.49,52221.3,34.375,butler
11/30/19,32355.3,20.43,52122.4,34.3018,butler
11/30/19,32288.5,20.41,52036.8,34.2385,butler
11/30/19,32214.2,20.41,51917,34.1499,butler
11/30/19,32167.5,20.44,51808.6,34.0698,butler
11/30/19,32120.9,20.43,51744.4,34.0224,butler
11/30/19,32101.6,20.4,51746,34.0235,butler
11/30/19,32140.3,20.33,51885.1,34.1263,butler
11/30/19,32132.6,20.39,51806.3,34.0681,butler
11/30/19,32113.2,20.3,51873.9,34.118,butler
11/30/19,32553.4,20.12,52776.7,34.7863,butler
11/30/19,32545.4,20.2,52673.7,34.71,butler
11/30/19,32581.4,20.25,52675.5,34.7113,butler
11/30/19,32497.7,20.23,52562.5,34.6276,butler
11/30/19,32477.8,20.25,52507.8,34.587,butler
11/30/19,32513.6,20.31,52498.2,34.58,butler
11/30/19,32573.4,20.4,52493.9,34.5768,butler
11/30/19,32561.4,20.43,52440.9,34.5375,butler
11/30/19,32505.6,20.36,52428.8,34.5285,butler
11/30/19,32438.2,20.31,52375.6,34.4891,butler
11/30/19,32382.8,20.31,52286,34.4229,butler
11/30/19,32343.5,20.34,52189.1,34.3512,butler
11/30/19,32335.6,20.36,52154,34.3251,butler
11/30/19,32288.5,20.44,51989.5,34.2035,butler
11/30/19,32296.3,20.52,51913.7,34.1474,butler
11/30/19,32268.9,20.53,51858.4,34.1066,butler
11/30/19,32222,20.56,51750,34.0265,butler
11/30/19,32202.5,20.6,51674.7,33.9709,butler
11/30/19,32159.7,20.65,51551.3,33.8798,butler
11/30/19,32233.7,20.73,51582.1,33.9025,butler
11/30/19,32276.7,20.82,51552.5,33.8806,butler
11/30/19,32296.3,20.89,51507.4,33.8473,butler
11/30/19,32323.8,20.97,51464.1,33.8154,butler
11/30/19,32418.4,21.11,51462.4,33.8141,butler
11/30/19,32426.3,21.1,51485.5,33.8312,butler
11/30/19,32782.6,20.79,52382.9,34.4945,butler
11/30/19,32945.5,21.14,52256.1,34.4007,butler
11/30/19,32966,21.15,52277.3,34.4164,butler
11/30/19,32908.7,21.07,52274,34.414,butler
12/1/19,32867.9,20.99,52296.9,34.4309,butler
12/1/19,32782.6,20.91,52249.1,34.3955,butler
12/1/19,32762.3,20.89,52238.5,34.3877,butler
12/1/19,32721.9,20.82,52250.9,34.3969,butler
12/1/19,32762.3,20.82,52315,34.4443,butler
12/1/19,32734,20.82,52269.6,34.4107,butler
12/1/19,32705.8,20.81,52235.4,34.3854,butler
12/1/19,32657.5,20.79,52180.1,34.3445,butler
12/1/19,32589.4,20.81,52049.3,34.2477,butler
12/1/19,32549.4,20.79,52007.2,34.2166,butler
12/1/19,32513.6,20.78,51960.7,34.1822,butler
12/1/19,32513.6,20.72,52026.3,34.2307,butler
12/1/19,32553.4,20.69,52122.6,34.3019,butler
