process.date,expt,sample.date,site,meter,treatment,reef,spat.source,month.checked,oyster.ID,oyster.length,oyster.width,tissue.tin.no,tissue.tin.wt,tissue.pre.wet,tissue.wet.wt,tissue.pre.dry,tissue.dry.wt,shell.tin.no,shell.tin.wt,shell.pre.wet,shell.wet.wt,shell.pre.dry,shell.dry.wt,shell.length,shell.width,shell.thickness,std.thick,std.wt,std.tissue
28-Jun-21,RT,12-Nov-19,Butler,9,cage,butler,pellicer,three,4r,27.3,17.41,63,1.319,1.447,0.128,1.36,0.041,159,1.319,1.834,0.515,1.822,0.503,26.63,15.25,1.157,0.04344724,0.018888472,0.001539617
28-Jun-21,RT,12-Nov-19,Butler,11,control,butler,pellicer,three,6b,36.41,20.66,172,1.056,1.431,0.375,1.119,0.063,121,1.31,2.796,1.486,2.741,1.431,34.13,20.04,2.044,0.059888661,0.041927923,0.001845883
28-Jun-21,RT,12-Nov-19,Butler,13,cage,butler,pellicer,three,40r,27.14,15.08,106,1.057,1.321,0.264,1.099,0.042,132,1.071,1.608,0.537,1.594,0.523,25.28,12.91,1.383,0.054707278,0.020688291,0.001661392
28-Jun-21,RT,12-Nov-19,Butler,14,cage,butler,butler,three,96r,41.87,25.84,11.sideways,0.954,1.977,1.023,1.072,0.118,286,1.027,2.624,1.597,2.555,1.528,39.69,23.55,1.649,0.041546989,0.038498362,0.002973041
28-Jun-21,RT,12-Nov-19,Butler,15,control,butler,butler,three,102p,36.05,17.32,98,0.962,1.17,0.208,0.998,0.036,176,1.31,2.203,0.893,2.165,0.855,27.27,15.67,1.861,0.068243491,0.031353135,0.001320132
28-Jun-21,RT,12-Nov-19,Butler,16,cage,butler,butler,three,94b,28.82,21.04,169,1.046,1.323,0.277,1.085,0.039,36,0.991,1.708,0.717,1.686,0.695,24.57,18.65,1.355,0.055148555,0.028286528,0.001587302
28-Jun-21,RT,12-Nov-19,Butler,17,control,butler,butler,three,72p,26.28,17.15,116,1.066,1.215,0.149,1.091,0.025,109,1.319,1.976,0.657,1.96,0.641,25.12,15.38,1.431,0.056966561,0.025517516,0.000995223
28-Jun-21,RT,12-Nov-19,Butler,19,cage,butler,pellicer,three,43p,30.26,17.67,50,1.305,1.496,0.191,1.342,0.037,32,1.318,2.059,0.741,2.031,0.713,28.53,16.63,1.391,0.048755696,0.024991237,0.00129688
28-Jun-21,RT,12-Nov-19,Butler,20,control,butler,pellicer,three,46b,45.9,23.98,319,0.999,1.679,0.68,1.087,0.088,60,1.315,3.51,2.195,3.458,2.143,43.8,24.34,1.658,0.037853881,0.048926941,0.002009132
28-Jun-21,RT,12-Nov-19,Pellicer,1,control,pellicer,butler,three,76p,30.44,24.13,254,0.993,1.343,0.35,1.038,0.045,41,1.062,2.002,0.94,1.963,0.901,29.93,20.61,1.256,0.041964584,0.030103575,0.001503508
28-Jun-21,RT,12-Nov-19,Pellicer,2,control,pellicer,butler,three,109p,21.72,19.92,47,1.31,1.372,0.062,1.326,0.016,70,1.058,1.376,0.318,1.366,0.308,18.99,18.18,1.036,0.054555029,0.016219063,0.000842549
28-Jun-21,RT,12-Nov-19,Pellicer,3,cage,pellicer,pellicer,three,44r,32.81,22.94,18,1.313,1.775,0.462,1.383,0.07,228,1.013,2.195,1.182,2.147,1.134,31.94,21.32,1.715,0.053694427,0.03550407,0.002191609
28-Jun-21,RT,12-Nov-19,Pellicer,5,cage,pellicer,pellicer,three,10b,44.7,26.95,91,1.304,2.924,1.62,1.503,0.199,144,1.057,3.519,2.462,3.354,2.297,43.27,26.49,2.506,0.057915415,0.053085278,0.004599029
28-Jun-21,RT,12-Nov-19,Pellicer,6,control,pellicer,pellicer,three,29b,24.62,17.42,65,1.306,1.418,0.112,1.334,0.028,33,1.297,1.79,0.493,1.773,0.476,23.64,16.36,1.277,0.054018613,0.020135364,0.001184433
28-Jun-21,RT,12-Nov-19,Pellicer,7,cage,pellicer,pellicer,three,5r,24.36,17.15,58,1.315,1.594,0.279,1.361,0.046,291,0.953,1.672,0.719,1.639,0.686,22.3,16.8,1.706,0.076502242,0.030762332,0.00206278
28-Jun-21,RT,12-Nov-19,Pellicer,8,control,pellicer,pellicer,three,27r,26.08,20.9,161,1.071,1.644,0.573,1.148,0.077,79,1.06,2.291,1.231,2.198,1.138,23.23,19.46,1.793,0.077184675,0.048988377,0.003314679
28-Jun-21,RT,12-Nov-19,Pellicer,9,cage,pellicer,butler,three,111p,27.44,17.89,41,1.313,1.496,0.183,1.354,0.041,139,1.321,2.04,0.719,2.019,0.698,27.49,18.33,1.358,0.049399782,0.025391051,0.001491451
28-Jun-21,RT,12-Nov-19,Pellicer,10,control,pellicer,pellicer,three,31r,45.58,24.85,92,1.316,2.219,0.903,1.462,0.146,21,0.96,3.171,2.211,3.036,2.076,42.38,23.8,1.571,0.037069372,0.04898537,0.003445021
28-Jun-21,RT,12-Nov-19,Pellicer,11,control,pellicer,butler,three,108r,33.02,25.39,168,1.056,1.753,0.697,1.177,0.121,11,1.309,2.832,1.523,2.78,1.471,31.72,25.69,1.537,0.048455233,0.046374527,0.003814628
28-Jun-21,RT,12-Nov-19,Pellicer,12,cage,pellicer,pellicer,three,42p,23,17.24,71,1.311,1.488,0.177,1.351,0.04,87,1.073,1.547,0.474,1.521,0.448,22.62,15.48,1.415,0.062555261,0.019805482,0.001768347
28-Jun-21,RT,12-Nov-19,Pellicer,13,cage,pellicer,butler,three,106b,23.55,15.97,46,1.305,1.53,0.225,1.326,0.021,42,1.324,1.75,0.426,1.722,0.398,20.84,13.24,1.288,0.061804223,0.019097889,0.001007678
28-Jun-21,RT,12-Nov-19,Pellicer,14,cage,pellicer,butler,three,104p,26.06,17.69,37,1.069,1.486,0.417,1.115,0.046,42,1.306,1.844,0.538,1.809,0.503,25.86,15.71,1.452,0.056148492,0.019450889,0.001778809
28-Jun-21,RT,12-Nov-19,Pellicer,15,control,pellicer,pellicer,three,8p,40.61,24.76,123,1.306,2.234,0.928,1.429,0.123,49,1.315,3.709,2.394,3.586,2.271,39.4,23.75,1.714,0.043502538,0.057639594,0.003121827
28-Jun-21,RT,12-Nov-19,Pellicer,18,control,pellicer,pellicer,three,48b,23.7,16.9,74,1.071,1.12,0.049,1.098,0.027,34,1.061,1.638,0.577,1.608,0.547,22.75,15.98,1.45,0.063736264,0.024043956,0.001186813
28-Jun-21,RT,12-Nov-19,Pellicer,20,cage,pellicer,butler,three,67r,26.16,20.71,160,1.311,1.865,0.554,1.381,0.07,218,1.001,2.078,1.077,1.994,0.993,26.12,21.08,1.91,0.073124043,0.038016845,0.002679939
